tb_path,dataset,operation,selem,dice,convergence_dice_test,convergence_dice_train,convergence_dice_val,convergence_selem_0,convergence_selem_1
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/dilation/bisel/version_0,diskorect,dilation,disk,1.0,,547,,2600.0,
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/dilation/bisel/version_1,diskorect,dilation,stick,1.0,,550,,800.0,
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/dilation/bisel/version_2,diskorect,dilation,cross,1.0,,567,,,
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/erosion/bisel/version_0,diskorect,erosion,disk,0.99738705,,3906,,,
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/erosion/bisel/version_1,diskorect,erosion,stick,1.0,,440,,500.0,
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/erosion/bisel/version_2,diskorect,erosion,cross,1.0,,1245,,1400.0,
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/opening/bisel/version_0,diskorect,opening,disk,0.9279607,,11718,,,
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/opening/bisel/version_1,diskorect,opening,stick,1.0,,7661,,4000.0,6400.0
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/opening/bisel/version_2,diskorect,opening,cross,0.9981418,,11598,,7200.0,5300.0
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/closing/bisel/version_0,diskorect,closing,disk,0.96155953,,11718,,,
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/closing/bisel/version_1,diskorect,closing,stick,1.0,,8819,,7200.0,11000.0
deep_morpho/results/ICIP_2022/sandbox/4/diskorect/closing/bisel/version_2,diskorect,closing,cross,0.99994016,,11616,,7600.0,
deep_morpho/results/ICIP_2022/sandbox/5/mnist/dilation/bisel/version_0,mnist,dilation,disk,1.0,,13,234,,
deep_morpho/results/ICIP_2022/sandbox/5/mnist/dilation/bisel/version_1,mnist,dilation,stick,1.0,,23,234,100.0,
deep_morpho/results/ICIP_2022/sandbox/5/mnist/dilation/bisel/version_2,mnist,dilation,cross,1.0,,13,234,,
deep_morpho/results/ICIP_2022/sandbox/5/mnist/erosion/bisel/version_0,mnist,erosion,disk,1.0,,6933,4464,,
deep_morpho/results/ICIP_2022/sandbox/5/mnist/erosion/bisel/version_1,mnist,erosion,stick,1.0,,621,704,700.0,
deep_morpho/results/ICIP_2022/sandbox/5/mnist/erosion/bisel/version_2,mnist,erosion,cross,1.0,,3716,3524,,
deep_morpho/results/ICIP_2022/sandbox/5/mnist/opening/bisel/version_0,mnist,opening,disk,0.99249786,,4698,4699,,4000.0
deep_morpho/results/ICIP_2022/sandbox/5/mnist/opening/bisel/version_1,mnist,opening,stick,1.0,,4504,4229,2400.0,3200.0
deep_morpho/results/ICIP_2022/sandbox/5/mnist/opening/bisel/version_2,mnist,opening,cross,0.9987491,,4699,4699,,4100.0
deep_morpho/results/ICIP_2022/sandbox/5/mnist/closing/bisel/version_0,mnist,closing,disk,0.990655,,4698,4699,,
deep_morpho/results/ICIP_2022/sandbox/5/mnist/closing/bisel/version_1,mnist,closing,stick,0.9992691,,4653,4464,4600.0,
deep_morpho/results/ICIP_2022/sandbox/5/mnist/closing/bisel/version_2,mnist,closing,cross,0.980259,,4699,4699,,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/dilation/bisel/version_0,inverted_mnist,dilation,disk,1.0,,11,234,,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/dilation/bisel/version_1,inverted_mnist,dilation,stick,1.0,,21,234,100.0,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/dilation/bisel/version_2,inverted_mnist,dilation,cross,1.0,,12,234,,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/erosion/bisel/version_0,inverted_mnist,erosion,disk,1.0,,2318,2114,,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/erosion/bisel/version_1,inverted_mnist,erosion,stick,1.0,,1297,939,1800.0,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/erosion/bisel/version_2,inverted_mnist,erosion,cross,1.0,,5085,469,,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/opening/bisel/version_0,inverted_mnist,opening,disk,0.9935219,,4689,4699,,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/opening/bisel/version_1,inverted_mnist,opening,stick,0.99861765,,4475,4464,3700.0,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/opening/bisel/version_2,inverted_mnist,opening,cross,0.98793745,,4698,4699,,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/closing/bisel/version_0,inverted_mnist,closing,disk,0.9913964,,4697,4699,,
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/closing/bisel/version_1,inverted_mnist,closing,stick,1.0,,2589,2349,1300.0,2300.0
deep_morpho/results/ICIP_2022/sandbox/5/inverted_mnist/closing/bisel/version_2,inverted_mnist,closing,cross,0.99996746,,2838,1644,2000.0,1700.0
